cycle,n_door_slices,slice_idx,npts,conf,cx,cy,range,trunc_frac,motion_var
195,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
196,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
196,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
197,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
197,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
198,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
198,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
199,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
199,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
200,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
200,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
201,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
201,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
202,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
202,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
203,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
203,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
204,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
204,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
205,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
205,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
206,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
206,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
207,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
207,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
208,2,4,1816,1,-3.2513,7.12022,4.10191,0,0
208,2,5,2150,1,-4.74684,9.19619,6.19596,0,0
