room,sigma,error
82,0.0222622,0.005253846210158679
82,0.0287074,0.006644723395296543
82,0.0561903,0.01914193827698758
83,0.0361171,0.024465487937092217
83,0.0216817,0.006554265786493652
83,0.0223758,0.017081571941715275
83,0.0245983,0.01734453804516003
83,0.0952746,0.00882946934985342
83,0.192668,0.022441840387989426
84,0.0237168,0.017804819572239325
84,0.022246,0.02131926124423658
84,0.0259815,0.03313208716637101
84,0.0342787,0.02484206110611594
84,0.0256854,0.011742508249943828
84,0.0237791,0.0197831544501884
85,0.0235083,0.004731733297640495
85,0.0227486,0.0055282637418994415
85,0.0248677,0.015232691817272851
85,0.0248677,0.11275439237564097
85,0.0353758,0.0088413799827853
85,0.0356145,0.031911073037583663
85,0.0274628,0.027746157504238405
85,0.0351036,0.01213021434270672
86,0.0262433,0.032961965960785766
86,0.0241173,0.00744408490010677
86,0.0238503,0.007393896131269403
86,0.021469,0.015614582927507026
86,0.0224373,0.018464198980730134
86,0.0278252,0.0357195982620185
87,0.0234082,0.07023789433062476
87,0.023324,0.05144851504173885
87,0.023324,0.12181432756453671
87,0.0464388,0.046964715478750044
87,0.0283085,0.023814504424824388
87,0.0240208,0.06728368625454437
88,0.0265795,0.0022655683613613913
88,0.0209905,0.007816655294945988
88,0.0250528,0.008976842429273463
88,0.02696,0.0053350351451512045
88,0.0237246,0.0036848473509765757
88,0.0279311,0.0030142329040737225
89,0.021272,0.004276926466517892
89,0.0240681,0.0065111135760328
89,0.0310512,0.003702769233965131
89,0.0331722,0.0033503731135500277
89,0.0249301,0.0051483978090275774
89,0.0241162,0.0022440365415918734
90,0.0304598,0.01524524844008787
90,0.0218769,0.008189316516046775
90,0.0286122,0.015395829337843706
90,0.029497,0.01164152485716507
90,0.023759,0.004705715779772554
90,0.0304932,0.015872396290415574
91,0.0491967,0.04919418424976682
91,0.0499285,0.04590596475404921
91,0.0240279,0.01858222486679137
91,0.0240279,0.12518139388902788
91,0.0278862,0.0611181814192798
91,0.0354416,0.054966917323058924
91,0.0349071,0.022469986559854282
91,0.0223785,0.026753223450642332
92,0.029972,0.06928862893722183
92,0.0331443,0.07631674062746635
92,0.0627866,0.09405812032993217
92,0.0575903,0.08832005661230057
92,0.022629,0.011076303535024841
92,0.024868,0.020436893110255438
92,0.0256717,0.015050647826588767
92,0.0361081,0.005153183482081496
92,0.0300755,0.004538339454029365
92,0.02958,0.013383908098907545
93,0.0244468,0.006331295286116107
93,0.0233641,0.06192542934853152
93,0.0227764,0.0465912277150965
93,0.0257175,0.05609916524334389
93,0.0328475,0.029743401890167206
93,0.0422592,0.01565959450305146
93,0.0339882,0.08785428902449796
93,0.0251503,0.08588653445098364
94,0.0238975,0.034457523126307184
94,0.0243129,0.03786312718199611
94,0.0260032,0.022526644224117966
94,0.0255109,0.012927652532459146
94,0.0275194,0.024686680619313926
94,0.0275194,0.08584308766581086
95,0.0236622,0.015282241327763292
95,0.0692989,0.018224447865436214
95,0.290094,0.031246922792492766
95,0.32887,0.0331526365316547
95,0.0236917,0.05177031292159613
95,0.0214892,0.04953378342101484
96,0.0219608,0.008667808258147008
96,0.0867009,0.008734895534578674
96,0.0862539,0.009087089137892386
96,0.0546983,0.009079056338629184
96,0.0240902,0.010880266540852926
96,0.0228019,0.010887956649436223
97,0.0248555,0.03563347302747763
97,0.0240312,0.025322851340242127
97,0.0260046,0.03315020512757059
97,0.0238278,0.03054620107312851
97,0.0223794,0.008985143293236712
97,0.0243983,0.029808515561832755
98,0.0275142,0.014196524222498823
98,0.0320967,0.011252679680858281
98,0.0375885,0.017671496823981923
98,0.022504,0.015278645227899106
98,0.0216044,0.006048842864548721
98,0.0238048,0.015874136196971086
99,0.0227959,0.015227031884119807
99,0.0239514,0.015921764977539
99,0.0222706,0.009227794969547037
99,0.0358558,0.0038776926128820527
99,0.0400116,0.004860257194840545
99,0.0304888,0.0072888956639536725
100,0.0244099,0.00848653050427571
100,0.0321001,0.005230321596230845
100,0.0300427,0.009277236927016671
100,0.0253294,0.013004910457208058
100,0.0228035,0.009534533286952158
100,0.0252733,0.009320085836514636
100,0.0241068,0.009950778863988785
100,0.0233429,0.006349622035995558
101,0.0277929,0.004410997619586949
101,0.0245877,0.006775322870535613
101,0.0221006,0.00437147572336871
101,0.0247869,0.0017610508226620306
101,0.0250449,0.08932617141689222
101,0.0250449,0.009880855226143355
101,0.0250449,0.0094657963214935
101,0.0250449,0.04038190807775202
102,0.0235022,0.07013715135361576
102,0.0219144,0.05477958104987691
102,0.0260978,0.09288256294913484
102,0.0247611,0.09872555191033407
102,0.0305225,0.10437113489849564
102,0.0382744,0.13875929410313373
102,0.0271396,0.06596130987177261
102,0.0271396,0.08532817236997423
103,0.0599723,0.01003390253091996
