wall_ms,type,valid_ts_ms,x,y,theta,innov_norm
1789391754090,0,1789391754083,-0.438045,-0.93441,3.10705,0
1789391754144,0,1789391754134,-0.438052,-0.934488,3.10731,0
1789391754187,0,1789391754179,-0.43806,-0.934564,3.10701,0
1789391754244,0,1789391754234,-0.438058,-0.934586,3.107,0
1789391754294,0,1789391754284,-0.43805,-0.934568,3.10702,0
1789391754349,0,1789391754338,-0.438028,-0.934572,3.10708,0
1789391754401,0,1789391754390,-0.437994,-0.934598,3.10666,0
1789391754450,0,1789391754439,-0.437984,-0.934642,3.10676,0
1789391754495,0,1789391754487,-0.438011,-0.934718,3.10663,0
1789391754544,0,1789391754536,-0.438032,-0.934773,3.10631,0
1789391754589,0,1789391754582,-0.438026,-0.934722,3.10621,0
1789391754659,0,1789391754648,-0.438016,-0.93465,3.10561,0
1789391754707,0,1789391754698,-0.43806,-0.93467,3.10535,0
1789391754764,0,1789391754752,-0.438108,-0.934692,3.10556,0
1789391754813,0,1789391754805,-0.438116,-0.934788,3.10573,0
1789391754872,0,1789391754864,-0.438115,-0.934912,3.10541,0
1789391754917,0,1789391754909,-0.438128,-0.934926,3.10525,0
1789391754970,0,1789391754958,-0.438146,-0.934917,3.10453,0
1789391755014,0,1789391755005,-0.438151,-0.934874,3.10488,0
1789391755077,0,1789391755068,-0.438145,-0.93478,3.10496,0
1789391755132,0,1789391755122,-0.43816,-0.934724,3.10488,0
1789391755180,0,1789391755170,-0.43821,-0.934716,3.10439,0
1789391755226,0,1789391755218,-0.438255,-0.934705,3.10419,0
1789391755289,0,1789391755280,-0.438287,-0.934671,3.10428,0
1789391755331,0,1789391755324,-0.438309,-0.934646,3.10434,0
1789391755395,0,1789391755388,-0.438304,-0.934603,3.1037,0
1789391755451,0,1789391755441,-0.438293,-0.934567,3.10404,0
1789391755499,0,1789391755489,-0.438276,-0.934565,3.10385,0
1789391755547,0,1789391755537,-0.438259,-0.934567,3.10378,0
1789391755607,0,1789391755597,-0.43829,-0.934589,3.104,0
1789391755649,0,1789391755641,-0.438334,-0.934614,3.10452,0
1789391755700,0,1789391755689,-0.438348,-0.934612,3.1049,0
1789391755745,0,1789391755737,-0.438335,-0.934586,3.10498,0
1789391755808,0,1789391755798,-0.438337,-0.934532,3.10518,0
1789391755854,0,1789391755842,-0.43837,-0.934458,3.10534,0
1789391755900,0,1789391755893,-0.438403,-0.934398,3.10504,0
1789391755943,0,1789391755937,-0.43841,-0.934455,3.10519,0
1789391756000,0,1789391755990,-0.438419,-0.934524,3.1049,0
1789391756049,0,1789391756042,-0.43839,-0.934483,3.10526,0
1789391756104,0,1789391756095,-0.43836,-0.934442,3.10448,0
1789391756156,0,1789391756148,-0.438391,-0.934469,3.10456,0
1789391756209,0,1789391756198,-0.438433,-0.934508,3.10423,0
1789391756256,0,1789391756245,-0.438405,-0.934517,3.1044,0
1789391756306,0,1789391756294,-0.438352,-0.934516,3.10431,0
1789391756360,0,1789391756349,-0.438312,-0.934515,3.10471,0
1789391756422,0,1789391756411,-0.438293,-0.934514,3.10472,0
1789391756465,0,1789391756454,-0.438245,-0.934501,3.10454,0
1789391756519,0,1789391756510,-0.438115,-0.934457,3.10504,0
1789391756579,0,1789391756570,-0.438006,-0.934407,3.10486,0
1789391756626,0,1789391756618,-0.438059,-0.934352,3.10517,0
1789391756674,0,1789391756665,-0.438112,-0.934298,3.10561,0
1789391756722,0,1789391756714,-0.43806,-0.934289,3.1054,0
1789391756772,0,1789391756762,-0.43801,-0.93428,3.10483,0
1789391756826,0,1789391756819,-0.437984,-0.934272,3.10424,0
1789391756874,0,1789391756868,-0.437971,-0.934267,3.10424,0
1789391756928,0,1789391756917,-0.437977,-0.934228,3.10464,0
1789391756971,0,1789391756963,-0.43799,-0.934178,3.10519,0
1789391757023,0,1789391757012,-0.437978,-0.934157,3.10505,0
1789391757079,0,1789391757070,-0.437936,-0.934168,3.10503,0
1789391757132,0,1789391757121,-0.4379,-0.934203,3.10498,0
1789391757176,0,1789391757167,-0.437866,-0.93428,3.10488,0
1789391757234,0,1789391757224,-0.437824,-0.934354,3.10508,0
1789391757281,0,1789391757274,-0.437783,-0.93432,3.10477,0
1789391757341,0,1789391757333,-0.437735,-0.934279,3.10527,0
1789391757386,0,1789391757378,-0.437714,-0.934361,3.10541,0
1789391757441,0,1789391757429,-0.437689,-0.934455,3.10561,0
1789391757484,0,1789391757475,-0.437692,-0.934501,3.10577,0
1789391757551,0,1789391757540,-0.437697,-0.934564,3.10674,0
1789391757599,0,1789391757588,-0.437768,-0.934526,3.1072,0
1789391757662,0,1789391757654,-0.4379,-0.93443,3.10747,0
1789391757720,0,1789391757712,-0.437967,-0.934394,3.10802,0
1789391757785,0,1789391757774,-0.437973,-0.934418,3.10887,0
1789391757844,0,1789391757837,-0.437969,-0.934427,3.10936,0
1789391757895,0,1789391757885,-0.437944,-0.934403,3.10938,0
1789391757945,0,1789391757933,-0.437934,-0.934384,3.10948,0
1789391758007,0,1789391757998,-0.438,-0.934382,3.11001,0
1789391758054,0,1789391758046,-0.438052,-0.934381,3.10996,0
1789391758104,0,1789391758095,-0.438081,-0.934337,3.10973,0
1789391758149,0,1789391758142,-0.438107,-0.934294,3.11005,0
1789391758206,0,1789391758195,-0.438221,-0.934231,3.1108,0
1789391758255,0,1789391758247,-0.43835,-0.934166,3.11072,0
1789391758321,0,1789391758311,-0.43844,-0.934222,3.11143,0
1789391758371,0,1789391758360,-0.438466,-0.934349,3.11125,0
1789391758425,0,1789391758415,-0.438479,-0.934429,3.11125,0
1789391758464,0,1789391758456,-0.438476,-0.934438,3.11126,0
1789391758518,0,1789391758507,-0.438471,-0.934472,3.11154,0
1789391758571,0,1789391758563,-0.438463,-0.934557,3.11162,0
1789391758626,0,1789391758616,-0.438445,-0.934627,3.11196,0
1789391758678,0,1789391758668,-0.438375,-0.934648,3.11224,0
1789391758730,0,1789391758717,-0.43831,-0.934666,3.11244,0
1789391758775,0,1789391758765,-0.438337,-0.934623,3.11274,0
1789391758825,0,1789391758814,-0.438366,-0.934578,3.11284,0
1789391758879,0,1789391758869,-0.438377,-0.934508,3.11283,0
1789391758938,0,1789391758928,-0.438384,-0.934426,3.11282,0
1789391758981,0,1789391758974,-0.438348,-0.934368,3.11268,0
1789391759034,0,1789391759024,-0.438294,-0.934304,3.11313,0
1789391759078,0,1789391759069,-0.438304,-0.934267,3.11324,0
1789391759133,0,1789391759122,-0.438363,-0.934239,3.11249,0
1789391759187,0,1789391759178,-0.438391,-0.934232,3.11264,0
1789391759250,0,1789391759240,-0.438337,-0.934279,3.11254,0
1789391759304,0,1789391759294,-0.438298,-0.934311,3.11277,0
1789391759356,0,1789391759346,-0.438349,-0.934254,3.11226,0
1789391759403,0,1789391759391,-0.438394,-0.934204,3.11256,0
1789391759448,0,1789391759439,-0.438435,-0.934208,3.11175,0
1789391759498,0,1789391759486,-0.438476,-0.934211,3.11192,0
1789391759555,0,1789391759546,-0.43846,-0.93422,3.11221,0
1789391759603,0,1789391759591,-0.438434,-0.934228,3.11229,0
1789391759651,0,1789391759640,-0.438485,-0.93422,3.11245,0
1789391759708,0,1789391759698,-0.438583,-0.934204,3.11282,0
1789391759759,0,1789391759747,-0.438647,-0.934228,3.11272,0
1789391759802,0,1789391759794,-0.438693,-0.934282,3.11279,0
1789391759853,0,1789391759843,-0.438714,-0.934322,3.11298,0
1789391759911,0,1789391759901,-0.438682,-0.934335,3.11296,0
1789391759960,0,1789391759951,-0.438674,-0.934358,3.11307,0
1789391760007,0,1789391759997,-0.438753,-0.934426,3.11374,0
1789391760057,0,1789391760046,-0.438832,-0.934495,3.11402,0
1789391760103,0,1789391760093,-0.438809,-0.934447,3.11386,0
1789391760160,0,1789391760150,-0.438781,-0.934388,3.11301,0
1789391760218,0,1789391760209,-0.438824,-0.934372,3.11321,0
1789391760269,0,1789391760260,-0.438882,-0.934371,3.11277,0
1789391760315,0,1789391760306,-0.438882,-0.934358,3.11285,0
1789391760363,0,1789391760354,-0.438863,-0.93434,3.11289,0
1789391760423,0,1789391760412,-0.438842,-0.934288,3.1129,0
1789391760484,0,1789391760473,-0.438821,-0.934196,3.11254,0
1789391760528,0,1789391760517,-0.438832,-0.934146,3.11215,0
1789391760579,0,1789391760569,-0.438892,-0.934115,3.11238,0
1789391760623,0,1789391760614,-0.438934,-0.934108,3.11222,0
1789391760690,0,1789391760679,-0.438944,-0.93421,3.11066,0
1789391760747,0,1789391760737,-0.438948,-0.93431,3.1108,0
1789391760803,0,1789391760793,-0.438942,-0.934251,3.11028,0
1789391760861,0,1789391760852,-0.438936,-0.934179,3.11058,0
1789391760912,0,1789391760903,-0.438833,-0.934164,3.11059,0
1789391760957,0,1789391760949,-0.438734,-0.934153,3.11091,0
